LONG	LAT	WATER_LEVE	WATER_REDU	QUANTITY	NO	DIFF	DEPTH	DEPTH4DEV	IDOBJECT	ID_WELL	EX	NY	ZONE	LINK	Z
98.930	17.860	10.500	1.500	1.140	4921	3	13.500	13.500	2448	MW607	493528	1975178	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MW607	-13.50000000000
98.890	18.340	27.000	0.000	0.000	4302	3	30.000	30.000	960	WRN1688	489363	2028498	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1688	-30.00000000000
98.870	18.360	6.900	0.000	0.000	3801	3	10.000	10.000	1098	WRN1342	486549	2030265	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1342	-10.00000000000
98.810	18.390	22.000	0.000	0.000	2591	3	10.000	10.000	2724	WRN402	480475	2034243	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN402	-10.00000000000
98.860	18.440	22.000	0.000	0.000	3601	3	10.000	10.000	1154	WRN898	485776	2039865	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN898	-10.00000000000
98.860	18.360	6.400	0.000	0.000	3471	4	10.000	10.000	1080	WRN1323	485747	2030480	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1323	-10.00000000000
98.910	18.380	20.600	0.000	0.000	4674	4	10.000	10.000	915	WRN1525	490773	2032468	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1525	-10.00000000000
98.880	18.370	6.100	0.000	0.000	4079	4	10.000	10.000	907	WRN1511	488285	2031319	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1511	-10.00000000000
98.880	18.390	20.100	0.000	0.000	4096	4	10.000	10.000	1748	WRN1488	488322	2033501	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1488	-10.00000000000
98.850	18.450	20.000	0.000	0.000	3356	4	10.000	10.000	1193	WRN953	484943	2040399	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN953	-10.00000000000
98.810	18.420	19.000	0.000	0.000	2724	4	10.000	10.000	439	WRN502	480558	2037579	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN502	-10.00000000000
98.870	18.450	19.000	0.000	0.000	3942	4	10.000	10.000	1462	WRN868	486821	2040266	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN868	-10.00000000000
98.880	18.390	5.600	0.000	0.000	4099	4	10.000	10.000	1375	WRN1479	488131	2033663	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1479	-10.00000000000
98.790	18.350	18.200	0.000	0.000	2238	5	10.000	10.000	263	WRN1649	478628	2030041	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1649	-10.00000000000
