LONG	LAT	WATER_LEVE	WATER_REDU	QUANTITY	NO	DIFF	DEPTH	DEPTH4DEV	IDOBJECT	ID_WELL	EX	NY	ZONE	LINK	Z
99.950	18.700	4.500	9.000	5.680	27291	14	18.000	18.000	138	ME1149	600665	2068345	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=ME1149	-18.00000000000
99.200	18.080	15.000	24.000	1.140	8771	14	28.500	0.000	1204	DCD18716	522026	1999759	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18716	-28.50000000000
99.330	18.150	5.000	7.000	1.000	10081	14	19.000	18.150	92	PW5263	535372	2007424	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW5263	-19.00000000000
99.640	18.270	10.000	10.000	5.000	16587	14	24.000	24.000	1010	5901J047	568302	2020934	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5901J047	-24.00000000000
99.300	17.910	21.000	7.000	1.500	9743	14	35.000	27.330	1158	PW13138	532324	1980590	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW13138	-35.00000000000
99.520	18.130	2.400	3.900	4.500	13781	14	16.500	16.500	937	MM580	555889	2004985	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM580	-16.50000000000
99.470	18.570	5.000	5.000	2.000	12585	15	19.500	18.150	412	PW21719	549714	2053408	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW21719	-19.50000000000
99.380	18.240	10.000	5.900	2.000	10849	15	24.500	21.320	46	PW2340	541043	2017767	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW2340	-24.50000000000
99.320	18.080	11.000	6.500	2.000	9957	15	25.500	24.200	81	PW21380	534301	1999808	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW21380	-25.50000000000
99.250	17.640	3.000	9.000	4.500	9288	15	18.000	15.000	314	DCD18791	526816	1951495	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18791	-18.00000000000
99.350	17.950	6.000	9.000	1.140	10381	15	21.000	18.000	1163	DCD18961	537273	1984863	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18961	-21.00000000000
99.430	18.180	7.500	2.100	5.600	11691	15	22.500	21.000	614	MM500	546117	2010707	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM500	-22.50000000000
99.160	18.000	7.500	12.000	1.140	8178	15	22.500	0.000	1221	DCD18736	517972	1990997	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18736	-22.50000000000
99.230	17.720	9.000	10.500	1.820	9085	15	24.000	24.000	333	DCD18825	524566	1960117	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18825	-24.00000000000
99.700	18.120	15.000	21.000	2.270	18031	15	30.000	0.000	904	DCD18935	574067	2004071	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18935	-30.00000000000
99.170	17.500	15.000	24.000	2.300	8340	15	30.000	30.000	336	DCD18784	518860	1935699	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18784	-30.00000000000
99.540	18.340	6.880	1.590	2.420	14292	16	22.500	21.000	813	MM506	557341	2028248	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM506	-22.50000000000
99.520	18.130	5.300	0.000	1.500	13782	16	21.000	18.350	940	PW25592	555790	2005074	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW25592	-21.00000000000
99.140	17.420	2.100	12.000	1.820	7876	16	18.000	15.000	967	DCD18879	515505	1926537	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18879	-18.00000000000
99.360	18.330	5.100	11.400	1.590	10546	16	21.000	21.000	1309	MM401	538845	2027253	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM401	-21.00000000000
99.170	18.000	0.000	0.000	3.000	8353	16	16.000	15.260	1223	PW2541	518506	1990708	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW2541	-16.00000000000
99.360	17.620	8.000	10.000	3.000	10540	16	24.000	18.160	332	PW14254	539082	1948386	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW14254	-24.00000000000
99.490	18.070	14.000	22.000	2.200	12991	16	30.000	0.000	896	DCD18894	552033	1998965	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18894	-30.00000000000
99.640	18.110	20.000	30.000	2.200	16582	16	36.000	0.000	858	DCD18920	568383	2003060	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18920	-36.00000000000
99.490	18.310	7.800	8.700	3.400	13032	16	24.000	24.000	643	MM555	552315	2024610	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM555	-24.00000000000
