LONG	LAT	WATER_LEVE	WATER_REDU	QUANTITY	NO	DIFF	DEPTH	DEPTH4DEV	IDOBJECT	ID_WELL	EX	NY	ZONE	LINK	Z
98.040	19.770	12.000	16.000	12.000	227	18	30.000	30.000	57	MHS21	399567	2186992	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MHS21	-30.00000000000
97.920	18.160	12.000	21.000	4.500	105	18	30.000	0.000	204	DCD18474	385893	2008550	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18474	-30.00000000000
98.440	19.310	12.000	24.000	2.600	986	18	30.000	0.000	102	DCD18414	441530	2135815	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18414	-30.00000000000
98.040	19.780	18.000	3.000	10.000	229	18	36.000	30.000	59	MHS23	399589	2187539	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MHS23	-36.00000000000
98.460	19.280	22.500	30.000	1.590	1040	18	40.500	0.000	91	DCD18404	443970	2132845	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18404	-40.50000000000
97.910	18.050	6.100	12.200	1.590	43	18	24.390	0.000	238	AFD7904	385342	1997074	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD7904	-24.39000000000
97.910	18.130	6.100	12.200	4.550	55	18	24.390	0.000	315	AFD7907	385676	2005006	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD7907	-24.39000000000
97.920	18.130	12.200	27.440	4.550	90	18	30.490	0.000	217	AFD7913	386070	2005812	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD7913	-30.49000000000
97.910	18.150	5.400	9.000	5.680	59	19	24.000	0.000	207	DCD18479	385527	2008088	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18479	-24.00000000000
97.920	18.130	5.000	6.000	8.000	91	19	24.000	21.000	221	DG297	385913	2005579	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DG297	-24.00000000000
97.890	18.800	6.000	12.000	3.300	19	19	25.000	0.000	33	DCD18354	383888	2079142	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18354	-25.00000000000
97.910	18.020	6.000	16.000	2.500	38	19	25.000	0.000	333	DCD18526	385405	1992957	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18526	-25.00000000000
97.930	18.810	6.000	18.000	2.500	167	19	25.000	0.000	7	DCD18342	387856	2081008	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18342	-25.00000000000
98.440	19.320	6.000	18.000	6.000	990	19	25.000	0.000	74	DCD18409	441989	2136447	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18409	-25.00000000000
98.440	19.370	6.000	18.000	2.400	996	19	25.000	0.000	95	DCD18377	441288	2142724	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18377	-25.00000000000
98.470	19.280	6.000	18.000	3.300	1053	19	25.000	0.000	98	DCD18395	444731	2132629	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18395	-25.00000000000
97.910	18.690	6.000	20.000	2.500	75	19	25.000	0.000	20	DCD18360	385822	2067567	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18360	-25.00000000000
