LONG	LAT	DPGAG	MMIYAMAZAK	DISTKM	DPGAGAL
98.18301	17.64854	0.36	9	604.162775	349.07947470
98.18301	17.67354	0.34	9	603.617264	331.21077780
98.18301	17.69854	0.34	9	603.083800	331.36376150
98.18301	17.72354	0.35	9	602.562414	345.23820990
98.18301	17.74854	0.36	9	602.053137	350.25038870
98.18301	17.77354	0.36	9	601.556002	357.09837240
98.18301	17.79854	0.37	9	601.071037	362.56656050
98.18301	17.82354	0.37	9	600.598272	364.46905060
98.18301	17.84854	0.37	9	600.137736	364.46905060
98.18301	17.87354	0.37	9	599.689457	364.46905060
98.18301	17.89854	0.37	9	599.253463	359.09010310
98.18301	17.92354	0.36	9	598.829780	350.48770970
98.18301	17.94854	0.36	9	598.418435	350.25038870
98.18301	17.97354	0.35	9	598.019453	345.38629030
98.18301	18.12354	0.34	9	595.886523	331.36376150
98.18301	18.14854	0.35	9	595.574736	345.23820990
98.18301	18.17354	0.36	9	595.275490	350.25038870
98.18301	18.19854	0.36	9	594.988804	357.09837240
98.18301	18.22354	0.37	9	594.714697	362.56656050
98.18301	18.24854	0.36	9	594.453184	357.25920150
98.18301	18.27354	0.35	9	594.204284	342.31190560
98.18301	18.29854	0.33	9	593.968012	320.54800720
98.18301	18.32354	0.35	9	593.744383	342.02359010
98.18301	18.34854	0.36	9	593.533411	357.09837240
98.18301	18.37354	0.37	9	593.335110	362.56656050
98.18301	18.39854	0.37	9	593.149493	362.56656050
98.18301	18.42354	0.37	9	592.976571	362.56656050
98.18301	18.44854	0.37	9	592.816355	362.56656050
98.18301	18.47354	0.36	9	592.668857	357.25920150
98.18301	18.49854	0.36	9	592.534085	350.25038870
98.18301	18.52354	0.35	9	592.412048	345.38629030
98.18301	18.64854	0.34	9	591.993137	329.99965650
98.18301	18.67354	0.33	9	591.947648	325.80829430
98.18301	18.69854	0.32	9	591.914931	313.87458190
98.18301	18.72354	0.30	9	591.894989	296.16965600
98.18301	18.74854	0.28	8	591.887824	276.85055550
98.18301	18.77354	0.27	8	591.893436	267.63818850
98.18301	18.79854	0.28	8	591.911824	275.71984870
98.18301	18.82354	0.28	8	591.942987	278.57652590
98.18301	18.84854	0.28	8	591.986924	278.57652590
98.18301	18.87354	0.28	8	592.043631	275.80418590
98.18301	18.89854	0.27	8	591.993137	267.79607550
98.18301	18.92354	0.26	8	591.947648	255.59169960
98.18301	18.94854	0.26	8	591.914931	253.18612840
98.18301	18.97354	0.26	8	591.894989	254.83364560
98.18301	18.99854	0.26	8	591.887824	254.83364560
