LONG	LAT	DPGAG	MMIYAMAZAK	DISTKM	DPGAGAL
99.10801	18.12354	0.43	9	494.998312	424.01699070
99.10801	18.14854	0.43	9	494.622934	424.01699070
99.10801	18.17354	0.43	9	494.262572	424.01699070
99.10801	18.19854	0.43	9	493.917258	424.01699070
99.10801	18.22354	0.43	9	493.587025	418.65765650
99.10801	18.24854	0.43	9	493.271901	418.49584680
99.13301	17.37354	0.26	8	510.405493	251.60235440
99.13301	17.39854	0.28	8	509.596444	274.60679400
99.13301	17.42354	0.30	9	508.800971	297.70439670
99.13301	17.44854	0.33	9	508.019139	319.36042190
99.13301	17.47354	0.34	9	507.251012	337.47624650
99.13301	17.49854	0.36	9	506.496650	349.69827430
99.13301	17.52354	0.36	9	505.756117	354.07400160
99.13301	17.54854	0.36	9	505.029472	354.07400160
99.13301	17.57354	0.36	9	504.316776	349.82674150
99.13301	17.59854	0.37	9	503.618088	360.34437360
99.13301	17.62354	0.39	9	502.933466	379.55952360
99.13301	17.64854	0.40	9	502.262968	392.50037890
99.13301	17.67354	0.40	9	501.606651	397.12911770
99.13301	17.69854	0.40	9	500.964570	397.12911770
99.13301	17.72354	0.40	9	500.336780	392.63669140
99.13301	17.74854	0.39	9	499.723334	379.80959320
99.13301	17.77354	0.38	9	499.124287	373.03908200
99.13301	17.79854	0.38	9	498.539689	369.23017920
99.13301	17.92354	0.33	9	495.835191	325.80927490
99.13301	17.94854	0.31	9	495.338323	307.91606140
99.13301	17.97354	0.33	9	494.856239	326.58890360
99.13301	17.99854	0.36	9	494.388981	354.37898840
99.13301	18.02354	0.39	9	493.936593	380.78339350
99.13301	18.04854	0.41	9	493.499114	403.18864680
99.13301	18.07354	0.43	9	493.076585	418.49584680
99.13301	18.09854	0.43	9	492.669044	424.01699070
99.13301	18.12354	0.43	9	492.276527	424.01699070
99.13301	18.14854	0.43	9	491.899072	418.65765650
99.13301	18.17354	0.43	9	491.536713	422.12332660
99.13301	18.19854	0.43	9	491.189483	424.01699070
99.13301	18.22354	0.43	9	490.857414	418.65765650
99.13301	18.24854	0.42	9	490.540537	409.89737600
99.13301	18.27354	0.42	9	490.238882	415.10961050
99.13301	18.29854	0.42	9	489.952477	410.05035980
