LONG	LAT	DPGAG	MMIYAMAZAK	DISTKM	DPGAGAL
98.80801	18.19854	0.32	9	526.668592	311.69750560
98.80801	18.22354	0.33	9	526.358907	324.72956280
98.80801	18.24854	0.34	9	526.063415	334.18023140
98.80801	18.27354	0.36	9	525.782141	349.84439340
98.80801	18.29854	0.37	9	525.515107	360.22375180
98.80801	18.32354	0.37	9	525.262335	363.90320690
98.80801	18.34854	0.37	9	525.023846	360.33260560
98.80801	18.37354	0.36	9	524.799658	350.04641040
98.80801	18.39854	0.34	9	524.589791	334.44893360
98.80801	18.42354	0.32	9	524.394262	315.32890810
98.80801	18.44854	0.31	9	524.213087	308.53388030
98.83301	17.52354	0.19	8	537.618171	188.19451680
98.83301	17.54854	0.20	8	536.934648	198.36009020
98.83301	17.57354	0.21	8	536.264355	208.02552450
98.83301	17.59854	0.22	8	535.607344	216.80247620
98.83301	17.62354	0.23	8	534.963662	224.26337550
98.83301	17.64854	0.23	8	534.333358	229.98261380
98.83301	17.67354	0.24	8	533.716479	235.18798360
98.83301	17.69854	0.25	8	533.113073	244.28365150
98.83301	17.72354	0.26	8	532.523184	254.74048240
98.83301	17.74854	0.27	8	531.946857	265.82591960
98.83301	17.77354	0.28	8	531.384138	275.07162920
98.83301	17.79854	0.29	8	530.835068	288.53027560
98.83301	17.97354	0.29	8	527.377232	288.71562130
98.83301	17.99854	0.28	8	526.938813	275.29227880
98.83301	18.02354	0.27	8	526.514393	260.09785530
98.83301	18.04854	0.28	8	526.104005	277.50171700
98.83301	18.07354	0.30	9	525.707682	295.50770710
98.83301	18.09854	0.32	9	525.325456	311.69750560
98.83301	18.12354	0.33	9	524.957358	324.72956280
98.83301	18.14854	0.34	9	524.603417	333.25938700
98.83301	18.17354	0.34	9	524.263663	336.26218320
98.83301	18.19854	0.34	9	523.938123	336.26218320
98.83301	18.22354	0.36	9	523.626822	349.84439340
98.83301	18.24854	0.37	9	523.329788	360.22375180
98.83301	18.27354	0.38	9	523.047044	372.66937130
98.83301	18.29854	0.39	9	522.778613	384.97671710
98.83301	18.32354	0.40	9	522.524517	389.37009630
98.83301	18.34854	0.39	9	522.284777	385.10714550
98.83301	18.37354	0.38	9	522.059414	372.90767290
98.83301	18.39854	0.36	9	521.848445	354.63396130
98.83301	18.42354	0.34	9	521.651888	336.26218320
98.83301	18.44854	0.34	9	521.469760	336.26218320
98.83301	18.47354	0.34	9	521.302075	333.34862750
98.85801	17.52354	0.21	8	534.957730	201.16969540
98.85801	17.54854	0.22	8	534.270803	213.11027250
98.85801	17.57354	0.23	8	533.597164	224.61151160
98.85801	17.59854	0.24	8	532.936865	235.18798360
98.85801	17.62354	0.25	8	532.289954	244.28365150
98.85801	17.64854	0.26	8	531.656480	251.32384550
98.85801	17.67354	0.26	8	531.036492	255.79861990
98.85801	17.69854	0.27	8	530.430036	265.82591960
98.85801	17.72354	0.28	8	529.837160	275.07162920
98.85801	17.74854	0.29	8	529.257909	288.53027560
98.85801	17.77354	0.31	9	528.692327	299.20579480
98.85801	17.79854	0.32	9	528.140460	311.69750560
98.85801	17.82354	0.33	9	527.602348	324.72956280
98.85801	17.84854	0.34	9	527.078036	333.25938700
98.85801	17.89854	0.34	9	526.070971	336.26218320
98.85801	17.92354	0.34	9	525.588298	333.34862750
98.85801	17.94854	0.33	9	525.119584	324.89627580
98.85801	17.97354	0.32	9	524.664865	311.92207790
98.85801	17.99854	0.30	9	524.224177	295.77052530
98.85801	18.02354	0.28	8	523.797557	277.78316790
98.85801	18.04854	0.30	9	523.385039	295.50770710
98.85801	18.07354	0.32	9	522.986656	315.01999860
98.85801	18.09854	0.34	9	522.602440	334.18023140
98.85801	18.12354	0.36	9	522.232422	349.84439340
98.85801	18.14854	0.37	9	521.876633	360.22375180
98.85801	18.17354	0.37	9	521.535103	363.90320690
98.85801	18.19854	0.37	9	521.207858	363.90320690
98.85801	18.22354	0.38	9	520.894926	372.66937130
98.85801	18.24854	0.39	9	520.596333	384.97671710
98.85801	18.27354	0.40	9	520.312104	390.75479520
98.85801	18.29854	0.41	9	520.042261	404.77634340
98.85801	18.32354	0.42	9	519.786827	409.81205820
98.85801	18.34854	0.41	9	519.545825	404.92442380
98.85801	18.37354	0.40	9	519.319272	391.02447810
98.85801	18.39854	0.38	9	519.107190	370.41972580
98.85801	18.42354	0.37	9	518.909595	363.90320690
98.85801	18.44854	0.37	9	518.726503	363.90320690
98.85801	18.47354	0.37	9	518.557931	360.33260560
98.85801	18.49854	0.36	9	518.403893	350.04641040
98.88301	17.52354	0.22	8	532.298200	214.42436360
98.88301	17.54854	0.23	8	531.607836	228.38314920
98.88301	17.57354	0.25	8	530.930819	242.02027670
98.88301	17.59854	0.26	8	530.267199	254.74048240
98.88301	17.62354	0.27	8	529.617027	265.82591960
98.88301	17.64854	0.28	8	528.980352	274.50578550
98.88301	17.67354	0.29	8	528.357224	280.06909800
98.88301	17.69854	0.29	8	527.747689	288.53027560
98.88301	17.72354	0.31	9	527.151796	299.20579480
98.88301	17.74854	0.32	9	526.569591	311.69750560
98.88301	17.77354	0.33	9	526.001119	324.72956280
98.88301	17.79854	0.34	9	525.446425	334.18023140
98.88301	17.82354	0.36	9	524.905552	349.84439340
98.88301	17.84854	0.37	9	524.378543	360.22375180
98.88301	17.87354	0.37	9	523.865440	363.90320690
98.88301	17.89854	0.37	9	523.366284	363.90320690
98.88301	17.92354	0.37	9	522.881114	360.33260560
98.88301	17.94854	0.36	9	522.409971	350.04641040
98.88301	17.97354	0.34	9	521.952891	334.44893360
98.88301	17.99854	0.32	9	521.509912	315.32890810
98.88301	18.02354	0.31	9	521.081070	299.20579480
98.88301	18.04854	0.32	9	520.666399	315.01999860
98.88301	18.07354	0.34	9	520.265934	334.18023140
98.88301	18.09854	0.36	9	519.879707	354.32112920
98.88301	18.12354	0.38	9	519.507751	372.66937130
98.88301	18.14854	0.39	9	519.150095	384.97671710
98.88301	18.17354	0.40	9	518.806769	389.37009630
98.88301	18.19854	0.40	9	518.477802	389.37009630
98.88301	18.22354	0.40	9	518.163222	390.75479520
98.88301	18.24854	0.41	9	517.863054	404.77634340
98.88301	18.27354	0.42	9	517.577323	409.81205820
98.88301	18.29854	0.42	9	517.306054	416.66886790
98.88301	18.32354	0.43	9	517.049268	422.12332660
98.88301	18.34854	0.43	9	516.806989	416.82969690
98.88301	18.37354	0.41	9	516.579236	401.82846440
98.88301	18.39854	0.39	9	516.366028	385.10714550
98.88301	18.42354	0.40	9	516.167383	389.37009630
98.88301	18.44854	0.40	9	515.983319	389.37009630
98.88301	18.47354	0.39	9	515.813851	385.10714550
98.88301	18.49854	0.38	9	515.658992	372.90767290
98.90801	17.64854	0.31	9	526.304986	299.20579480
98.90801	17.67354	0.31	9	525.678686	306.11654110
98.90801	17.69854	0.32	9	525.066042	311.69750560
98.90801	17.72354	0.33	9	524.467102	324.72956280
98.90801	17.74854	0.34	9	523.881914	334.18023140
98.90801	17.77354	0.36	9	523.310522	349.84439340
98.90801	17.79854	0.37	9	522.752973	360.22375180
98.90801	17.82354	0.38	9	522.209310	372.66937130
98.90801	17.84854	0.39	9	521.679577	384.97671710
98.90801	17.87354	0.40	9	521.163817	389.37009630
98.90801	17.89854	0.40	9	520.662071	389.37009630
98.90801	17.92354	0.39	9	520.174379	385.10714550
98.90801	17.94854	0.38	9	519.700782	372.90767290
98.90801	17.97354	0.36	9	519.241317	354.63396130
98.90801	17.99854	0.34	9	518.796023	332.57096010
98.90801	18.02354	0.33	9	518.364936	324.72956280
98.90801	18.04854	0.34	9	517.948090	333.25938700
98.90801	18.07354	0.36	9	517.545522	354.32112920
98.90801	18.09854	0.38	9	517.157263	372.66937130
98.90801	18.12354	0.40	9	516.783347	390.75479520
98.90801	18.14854	0.41	9	516.423805	404.77634340
98.90801	18.17354	0.42	9	516.078665	409.81205820
98.90801	18.19854	0.42	9	515.747958	409.81205820
98.90801	18.22354	0.41	9	515.431712	404.92442380
98.90801	18.24854	0.42	9	515.129952	416.66886790
98.90801	18.27354	0.43	9	514.842705	422.12332660
98.90801	18.29854	0.43	9	514.569994	422.12332660
98.90801	18.32354	0.43	9	514.311842	424.01699070
98.90801	18.34854	0.43	9	514.068273	418.65765650
98.90801	18.37354	0.42	9	513.839306	409.81205820
98.90801	18.39854	0.41	9	513.624960	404.92442380
98.90801	18.42354	0.42	9	513.425255	409.81205820
98.90801	18.44854	0.42	9	513.240208	409.81205820
98.90801	18.47354	0.41	9	513.069833	404.92442380
98.90801	18.49854	0.40	9	512.914146	391.02447810
98.90801	18.52354	0.38	9	512.773161	370.41972580
98.93301	17.64854	0.33	9	523.630393	324.72956280
98.93301	17.67354	0.34	9	523.000890	333.25938700
98.93301	17.69854	0.34	9	522.385106	336.26218320
98.93301	17.72354	0.36	9	521.783089	349.84439340
98.93301	17.74854	0.37	9	521.194886	360.22375180
98.93301	17.77354	0.38	9	520.620546	372.66937130
98.93301	17.79854	0.39	9	520.060112	384.97671710
98.93301	17.82354	0.40	9	519.513632	390.75479520
98.93301	17.84854	0.41	9	518.981147	404.77634340
98.93301	17.87354	0.42	9	518.462703	409.81205820
98.93301	17.89854	0.42	9	517.958340	409.81205820
98.93301	17.92354	0.41	9	517.468100	404.92442380
98.93301	17.94854	0.40	9	516.992024	391.02447810
98.93301	17.97354	0.38	9	516.530150	370.41972580
98.93301	17.99854	0.35	9	516.082516	345.85799020
98.93301	18.02354	0.36	9	515.649160	349.84439340
98.93301	18.04854	0.37	9	515.230118	360.22375180
98.93301	18.07354	0.38	9	514.825424	370.06962840
98.93301	18.09854	0.40	9	514.435113	390.75479520
98.93301	18.12354	0.41	9	514.059217	404.77634340
98.93301	18.14854	0.42	9	513.697767	416.66886790
98.93301	18.17354	0.43	9	513.350795	422.12332660
98.93301	18.19854	0.43	9	513.018330	422.12332660
98.93301	18.22354	0.43	9	512.700400	416.82969690
98.93301	18.24854	0.43	9	512.397031	418.49584680
98.93301	18.27354	0.43	9	512.108251	424.01699070
98.93301	18.29854	0.43	9	511.834083	424.01699070
98.93301	18.32354	0.43	9	511.574551	424.01699070
98.93301	18.34854	0.43	9	511.329678	422.12332660
98.93301	18.37354	0.43	9	511.099484	422.12332660
98.93301	18.39854	0.43	9	510.883989	416.82969690
98.93301	18.42354	0.43	9	510.683212	422.12332660
98.93301	18.44854	0.43	9	510.497170	422.12332660
98.93301	18.47354	0.43	9	510.325880	416.82969690
98.93301	18.49854	0.41	9	510.169356	401.82846440
98.93301	18.52354	0.39	9	510.027612	379.74094660
98.95801	17.64854	0.36	9	520.956585	349.84439340
98.95801	17.67354	0.37	9	520.323847	360.22375180
98.95801	17.69854	0.37	9	519.704891	363.90320690
98.95801	17.72354	0.38	9	519.099766	372.66937130
98.95801	17.74854	0.39	9	518.508519	384.97671710
98.95801	17.77354	0.40	9	517.931200	390.75479520
98.95801	17.79854	0.41	9	517.367853	404.77634340
98.95801	17.82354	0.42	9	516.818526	409.81205820
98.95801	17.84854	0.42	9	516.283262	416.66886790
98.95801	17.87354	0.43	9	515.762105	422.12332660
98.95801	17.89854	0.43	9	515.255099	422.12332660
98.95801	17.92354	0.43	9	514.762285	416.82969690
98.95801	17.94854	0.41	9	514.283704	401.82846440
98.95801	17.97354	0.39	9	513.819395	379.74094660
98.95801	17.99854	0.36	9	513.369398	354.32112920
98.95801	18.02354	0.38	9	512.933750	372.66937130
98.95801	18.04854	0.39	9	512.512487	384.97671710
98.95801	18.07354	0.40	9	512.105646	389.37009630
98.95801	18.09854	0.41	9	511.713260	401.53818760
98.95801	18.12354	0.42	9	511.335363	416.66886790
98.95801	18.14854	0.43	9	510.971987	422.12332660
98.95801	18.17354	0.43	9	510.623163	424.01699070
98.95801	18.19854	0.43	9	510.288920	424.01699070
98.95801	18.22354	0.43	9	509.969288	422.12332660
98.95801	18.24854	0.43	9	509.664294	422.12332660
98.95801	18.27354	0.43	9	509.373964	416.82969690
98.95801	18.29854	0.43	9	509.098324	418.49584680
98.95801	18.32354	0.43	9	508.837397	424.01699070
98.95801	18.34854	0.43	9	508.591206	424.01699070
98.95801	18.37354	0.43	9	508.359772	424.01699070
98.95801	18.39854	0.43	9	508.143115	422.12332660
98.95801	18.42354	0.43	9	507.941255	424.01699070
98.95801	18.44854	0.43	9	507.754208	424.01699070
98.95801	18.47354	0.43	9	507.581992	418.65765650
98.95801	18.49854	0.41	9	507.424622	403.48284630
98.95801	18.52354	0.39	9	507.282111	381.16094950
98.95801	18.54854	0.36	9	507.154471	354.79675170
98.95801	18.57354	0.33	9	507.041715	327.01157020
98.98301	17.64854	0.38	9	518.283574	372.66937130
98.98301	17.67354	0.39	9	517.647570	384.97671710
98.98301	17.69854	0.40	9	517.025410	389.37009630
98.98301	17.72354	0.40	9	516.417144	390.75479520
98.98301	17.74854	0.41	9	515.822823	404.77634340
98.98301	17.77354	0.42	9	515.242494	409.81205820
98.98301	17.79854	0.42	9	514.676205	416.66886790
98.98301	17.82354	0.43	9	514.124001	422.12332660
98.98301	17.84854	0.43	9	513.585929	422.12332660
98.98301	17.87354	0.43	9	513.062033	424.01699070
98.98301	17.89854	0.43	9	512.552356	424.01699070
98.98301	17.92354	0.43	9	512.056940	418.65765650
98.98301	17.94854	0.41	9	511.575828	403.48284630
98.98301	17.97354	0.39	9	511.109060	381.16094950
98.98301	17.99854	0.38	9	510.656674	370.06962840
98.98301	18.02354	0.40	9	510.218710	390.75479520
98.98301	18.04854	0.41	9	509.795204	404.77634340
98.98301	18.07354	0.42	9	509.386192	409.81205820
98.98301	18.09854	0.42	9	508.991710	409.81205820
98.98301	18.12354	0.43	9	508.611791	418.49584680
